CAGDP2 Gross domestic product (GDP) by county and metropolitan area 1/,,
Gross Domestic Product (GDP): All industry total (Thousands of dollars) ,,
Bureau of Economic Analysis ,,
County,,
GeoFips,GeoName,2020
13000,Georgia,622627849
13001,"Appling, GA",1742236
13003,"Atkinson, GA",253660
13005,"Bacon, GA",395691
13007,"Baker, GA",68982
13009,"Baldwin, GA",1408986
13011,"Banks, GA",386862
13013,"Barrow, GA",2446906
13015,"Bartow, GA",5158726
13017,"Ben Hill, GA",568345
13019,"Berrien, GA",398418
13021,"Bibb, GA",8569320
13023,"Bleckley, GA",255812
13025,"Brantley, GA",266586
13027,"Brooks, GA",486342
13029,"Bryan, GA",1134992
13031,"Bulloch, GA",2648786
13033,"Burke, GA",3395322
13035,"Butts, GA",748982
13037,"Calhoun, GA",131999
13039,"Camden, GA",1943710
13043,"Candler, GA",295075
13045,"Carroll, GA",4866042
13047,"Catoosa, GA",1614500
13049,"Charlton, GA",228198
13051,"Chatham, GA",18578674
13053,"Chattahoochee, GA",1723603
13055,"Chattooga, GA",531709
13057,"Cherokee, GA",8641831
13059,"Clarke, GA",8008007
13061,"Clay, GA",106776
13063,"Clayton, GA",14278871
13065,"Clinch, GA",287848
13067,"Cobb, GA",56186301
13069,"Coffee, GA",1549248
13071,"Colquitt, GA",1585794
13073,"Columbia, GA",4486234
13075,"Cook, GA",413455
13077,"Coweta, GA",5236483
13079,"Crawford, GA",157534
13081,"Crisp, GA",915192
13083,"Dade, GA",422238
13085,"Dawson, GA",926989
13087,"Decatur, GA",878941
13089,"DeKalb, GA",42318939
13091,"Dodge, GA",450471
13093,"Dooly, GA",392812
13095,"Dougherty, GA",4632629
13097,"Douglas, GA",4912010
13099,"Early, GA",530054
13101,"Echols, GA",48352
13103,"Effingham, GA",2258635
13105,"Elbert, GA",681832
13107,"Emanuel, GA",732639
13109,"Evans, GA",387037
13111,"Fannin, GA",792393
13113,"Fayette, GA",5570258
13115,"Floyd, GA",4094372
13117,"Forsyth, GA",10844190
13119,"Franklin, GA",838259
13121,"Fulton, GA",183095901
13123,"Gilmer, GA",874899
13125,"Glascock, GA",35960
13127,"Glynn, GA",4132649
13129,"Gordon, GA",2345210
13131,"Grady, GA",679219
13133,"Greene, GA",769799
13135,"Gwinnett, GA",51246313
13137,"Habersham, GA",1538556
13139,"Hall, GA",11879587
13141,"Hancock, GA",178772
13143,"Haralson, GA",858773
13145,"Harris, GA",569659
13147,"Hart, GA",846739
13149,"Heard, GA",1270669
13151,"Henry, GA",7215273
13153,"Houston, GA",7442706
13155,"Irwin, GA",227396
13157,"Jackson, GA",3537924
13159,"Jasper, GA",314347
13161,"Jeff Davis, GA",457164
13163,"Jefferson, GA",569211
13165,"Jenkins, GA",168770
13167,"Johnson, GA",133024
13169,"Jones, GA",491107
13171,"Lamar, GA",464673
13173,"Lanier, GA",146692
13175,"Laurens, GA",1861540
13177,"Lee, GA",781580
13179,"Liberty, GA",3861236
13181,"Lincoln, GA",141118
13183,"Long, GA",189002
13185,"Lowndes, GA",5328103
13187,"Lumpkin, GA",947883
13189,"McDuffie, GA",698187
13191,"McIntosh, GA",263702
13193,"Macon, GA",366581
13195,"Madison, GA",516132
13197,"Marion, GA",117062
13199,"Meriwether, GA",626314
13201,"Miller, GA",230063
13205,"Mitchell, GA",803332
13207,"Monroe, GA",1300018
13209,"Montgomery, GA",170950
13211,"Morgan, GA",935254
13213,"Murray, GA",1311847
13215,"Muscogee, GA",11264737
13217,"Newton, GA",3210142
13219,"Oconee, GA",1678575
13221,"Oglethorpe, GA",273656
13223,"Paulding, GA",3450917
13225,"Peach, GA",956032
13227,"Pickens, GA",1050745
13229,"Pierce, GA",462025
13231,"Pike, GA",378150
13233,"Polk, GA",1224041
13235,"Pulaski, GA",304313
13237,"Putnam, GA",613768
13239,"Quitman, GA",39683
13241,"Rabun, GA",637323
13243,"Randolph, GA",195286
13245,"Richmond, GA",12715694
13247,"Rockdale, GA",4124951
13249,"Schley, GA",119153
13251,"Screven, GA",333104
13253,"Seminole, GA",308298
13255,"Spalding, GA",2199208
13257,"Stephens, GA",958039
13259,"Stewart, GA",139506
13261,"Sumter, GA",1100073
13263,"Talbot, GA",113544
13265,"Taliaferro, GA",27445
13267,"Tattnall, GA",592645
13269,"Taylor, GA",216954
13271,"Telfair, GA",296935
13273,"Terrell, GA",230365
13275,"Thomas, GA",2241683
13277,"Tift, GA",2073366
13279,"Toombs, GA",1039493
13281,"Towns, GA",394828
13283,"Treutlen, GA",108932
13285,"Troup, GA",3669460
13287,"Turner, GA",228435
13289,"Twiggs, GA",274918
13291,"Union, GA",893246
13293,"Upson, GA",732640
13295,"Walker, GA",1503400
13297,"Walton, GA",2865649
13299,"Ware, GA",1480875
13301,"Warren, GA",170717
13303,"Washington, GA",646173
13305,"Wayne, GA",1098600
13307,"Webster, GA",65442
13309,"Wheeler, GA",107436
13311,"White, GA",925169
13313,"Whitfield, GA",5783239
13315,"Wilcox, GA",151163
13317,"Wilkes, GA",287037
13319,"Wilkinson, GA",541022
13321,"Worth, GA",373638
Legend / Footnotes:,,
1/ Gross Domestic Product (GDP) is in thousands of current dollars (not adjusted for inflation). Industry detail is based on the 2012 North American Industry Classification System (NAICS).,,
"Metropolitan Areas are defined (geographically delineated) by the Office of Management and Budget (OMB) bulletin no. 20-01 issued March 6, 2020.",,
"Last updated: December 8, 2021 -- new statistics for 2020, revised statistics for 2001-2019.",,
